slug,name,url,complex,difficulty,one_way,ebike_ok,closed,segments,distance_m,distance_mi,elev_gain_m,elev_loss_m,elev_gain_ft,elev_loss_ft,elev_min_m,elev_max_m,closure,pois,flag_lat,flag_lng
50-shades-of-blue,50 Shades of Blue,https://bendbikerides.com/trail/50-shades-of-blue,Wanoga Sno Park,blue,,False,False,1,442.0,0.27,0.0,39.0,0,128,1652.6,1691.3,,Wanoga Sno Park,43.98272219835948,-121.53881050197187
afternoon-delight,Afternoon Delight,https://bendbikerides.com/trail/afternoon-delight,Sunriver,green,False,True,False,1,6970.0,4.33,187.0,103.0,614,338,1253.9,1393.0,,,43.91981333382065,-121.46385192799171
alpine-chrome-toilet,Alpine (Chrome Toilet),https://bendbikerides.com/trail/alpine-chrome-toilet,Oakridge,blue,False,True,False,1,5111.0,3.18,344.0,119.0,1129,390,1130.2,1419.0,,,43.88530268574871,-122.4905061637534
alpine-lower,Alpine (Lower),https://bendbikerides.com/trail/alpine-lower,Oakridge,blue,False,True,False,1,13659.0,8.49,391.0,1186.0,1283,3891,352.6,1225.0,,,43.78685073981305,-122.49102525422364
alpine-upper,Alpine (Upper),https://bendbikerides.com/trail/alpine-upper,Oakridge,blue,False,True,False,1,6400.0,3.98,234.0,424.0,768,1391,1165.1,1456.5,,,43.8494877668752,-122.46555980981722
arnold-ice-cave,Arnold Ice Cave,https://bendbikerides.com/trail/arnold-ice-cave,East of Bend,blue,False,False,False,1,15735.0,9.78,443.0,79.0,1453,259,1290.0,1672.2,Cabin Butte Area Closure,,43.9299467772243,-121.1647343475968
bachelor-mountain,Bachelor Mountain,https://bendbikerides.com/trail/bachelor-mountain,Cascade Crest,black,False,False,False,1,2925.0,1.82,362.0,31.0,1188,102,1478.0,1809.5,,,44.62831376228209,-122.01296624488052
bachy-west-xc,Bachy West XC,https://bendbikerides.com/trail/bachy-west-xc,Mt. Bachelor Bike Park,blue,,False,False,1,3086.0,1.92,14.0,105.0,46,344,1837.0,1928.2,,,44.01161288555113,-121.6814734164725
bens-trail,Ben’s Trail,https://bendbikerides.com/trail/bens-trail,Phil's Trail Complex,green,True,True,False,1,8441.0,5.24,233.0,48.0,764,157,1185.8,1371.2,,NF 300;Phil’s Trailhead,44.03542800051586,-121.4255550985115
betty-lake,Betty lake,https://bendbikerides.com/trail/betty-lake,Waldo Lake,blue,False,False,False,1,2945.0,1.83,72.0,54.0,236,177,1670.6,1733.3,,,43.67948112975452,-122.02414586993444
big-bark,Big Bark,https://bendbikerides.com/trail/big-bark,Maston,green,,False,False,1,1943.0,1.21,19.0,22.0,62,72,974.8,996.2,,,44.22613803369464,-121.29659088331682
big-wood,Big Wood,https://bendbikerides.com/trail/big-wood,Mt. Bachelor Bike Park,black,True,True,False,1,598.0,0.37,5.0,92.0,16,302,1971.4,2058.5,,Mt Bachelor Bike Park,43.99976315183932,-121.6769014774901
black-rock,Black Rock,https://bendbikerides.com/trail/black-rock,Sunriver,green,False,True,False,1,6643.0,4.13,91.0,13.0,299,43,1287.0,1369.0,,,43.91639838528991,-121.39117039613248
blade-runner,Blade Runner,https://bendbikerides.com/trail/blade-runner,Mt. Bachelor Bike Park,blue,True,True,False,1,657.0,0.41,4.0,76.0,13,249,1953.1,2026.1,,Mt Bachelor Bike Park,43.99852501366274,-121.6754627471641
blue-belly-loop,Blue Belly Loop,https://bendbikerides.com/trail/blue-belly-loop,Cline Butte,blue,,False,False,1,3503.0,2.18,58.0,58.0,190,190,945.7,984.8,,,44.27385182036568,-121.34180654346345
blue-belly-stem,Blue Belly Stem,https://bendbikerides.com/trail/blue-belly-stem,Cline Butte,green,False,False,False,1,3088.0,1.92,33.0,21.0,108,69,930.5,950.2,,,44.2816826202247,-121.32296458553742
bobber,Bobber,https://bendbikerides.com/trail/bobber,,"blue,green",False,False,False,2,3957.0,2.46,33.0,33.0,108,108,912.0,924.0,,High Desert Sports Complex,44.302169020435116,-121.14248875640125
bobby-lake,Bobby Lake,https://bendbikerides.com/trail/bobby-lake,Waldo Lake,green,False,False,False,1,3909.0,2.43,41.0,78.0,135,256,1652.6,1709.4,,,43.66300558483886,-121.98642669372148
bones,Bones,https://bendbikerides.com/trail/bones,Madras,green,False,True,False,1,1823.0,1.13,44.0,11.0,144,36,760.0,794.0,,,44.63181206258622,-121.08761130260467
bridge-to-nowhere,Bridge to Nowhere,https://bendbikerides.com/trail/bridge-to-nowhere,Madras,green,False,True,False,1,769.0,0.48,31.0,3.0,102,10,776.0,804.0,,,,
browder-ridge,Browder Ridge,https://bendbikerides.com/trail/browder-ridge,Cascade Crest,black,False,False,False,1,6798.0,4.22,527.0,164.0,1729,538,1227.7,1601.3,,,44.382647032995976,-122.12080789061602
bruno-meadows,Bruno Meadows,https://bendbikerides.com/trail/bruno-meadows,Cascade Crest,blue,False,False,False,1,2348.0,1.46,248.0,24.0,814,79,1308.7,1544.0,,,44.636900931442426,-122.00506196585371
bugaboo-ridge,Bugaboo Ridge,https://bendbikerides.com/trail/bugaboo-ridge,Cascade Crest,black,False,False,False,1,4807.0,2.99,60.0,434.0,197,1424,1271.6,1649.0,,,44.62708738461586,-121.99645519260176
bull-snake,Bull Snake,https://bendbikerides.com/trail/bull-snake,Cline Butte,green,False,False,False,1,1155.0,0.72,50.0,4.0,164,13,1012.6,1059.9,,,44.26209655744813,-121.30853801149208
bunchgrass-lower,Bunchgrass (Lower),https://bendbikerides.com/trail/bunchgrass-lower,Oakridge,black,False,False,False,1,9909.0,6.16,1013.0,491.0,3323,1611,1071.3,1593.4,,,43.75182221802598,-122.30274306886264
bunchgrass-upper,Bunchgrass (Upper),https://bendbikerides.com/trail/bunchgrass-upper,Oakridge,black,False,False,False,1,21113.0,13.12,1158.0,823.0,3799,2700,1517.8,1929.3,,,43.69602901500289,-122.17535563313726
burma-road,Burma Road,https://bendbikerides.com/trail/burma-road,,blue,False,False,False,1,1453.0,0.9,205.0,6.0,673,20,889.2,1093.9,,,44.37511515065165,-121.12492851942474
canyon-trail,Canyon Trail,https://bendbikerides.com/trail/canyon-trail,,green,False,False,False,1,793.0,0.49,3.0,55.0,10,180,815.9,867.6,,Smith Rock Welcome Center,44.36722284777184,-121.1369549829289
canyon-trail-west,Canyon Trail West,https://bendbikerides.com/trail/canyon-trail-west,,black,False,False,False,1,1933.0,1.2,79.0,39.0,259,128,807.8,860.3,,Smith Rock Welcome Center,44.35782560467436,-121.15098178023524
castle-rock,Castle Rock,https://bendbikerides.com/trail/castle-rock,McKenzie,blue,False,False,False,1,6827.0,4.24,672.0,189.0,2205,620,666.6,1164.4,,,44.151372488323176,-122.21213064271575
catch-and-release,Catch & Release,https://bendbikerides.com/trail/catch-and-release,Wanoga Sno Park,green,False,True,False,1,7759.0,4.82,142.0,122.0,466,400,1220.0,1273.0,,Cascade Lakes Welcome Center,43.96980586493056,-121.42466611661479
chain-reaction,Chain Reaction,https://bendbikerides.com/trail/chain-reaction,Sunriver,"blue,black",,True,False,2,1463.0,0.91,57.0,52.0,187,171,1290.7,1324.4,,,43.908661828713406,-121.45301223596745
chainbreak,Chainbreak,https://bendbikerides.com/trail/chainbreak,Cline Butte,blue,True,False,False,1,1303.0,0.81,3.0,187.0,10,614,1009.4,1193.5,,,44.25323017735383,-121.29728394912343
charlton-lake-19,Charlton Lake #19,https://bendbikerides.com/trail/charlton-lake-19,Waldo Lake,black,False,False,False,1,12349.0,7.67,474.0,224.0,1555,735,1513.9,1798.6,,,43.76647952117315,-121.95193323569151
charlton-lake-3593,Charlton Lake #3593,https://bendbikerides.com/trail/charlton-lake-3593,Waldo Lake,blue,False,False,False,1,2388.0,1.48,92.0,7.0,302,23,1658.9,1749.6,,,43.750222461665345,-121.98890267703456
clear-lake,Clear Lake,https://bendbikerides.com/trail/clear-lake,McKenzie,blue,False,False,False,1,4161.0,2.59,105.0,124.0,344,407,920.8,954.2,,,44.38239290270579,-122.00427404005109
cline-access,Cline Access,https://bendbikerides.com/trail/cline-access,Cline Butte,green,False,False,False,1,1899.0,1.18,162.0,8.0,531,26,1083.8,1239.1,,,44.25547605434426,-121.31127909817188
cline-butte-xc-trail,Cline Butte XC Trail,https://bendbikerides.com/trail/cline-butte-xc-trail,Cline Butte,green,False,False,False,1,4293.0,2.67,189.0,128.0,620,420,1012.9,1121.8,,,44.2612761487386,-121.2967159200872
clover-meadow-21,Clover Meadow #21,https://bendbikerides.com/trail/clover-meadow-21,Waldo Lake,blue,False,False,False,1,3673.0,2.28,141.0,9.0,463,30,1588.0,1720.8,,,43.7601913120663,-121.92309744546498
cloverpatch,Cloverpatch,https://bendbikerides.com/trail/cloverpatch,Oakridge,blue,False,True,False,1,13356.0,8.3,857.0,729.0,2812,2392,531.0,1021.7,,,43.81316161652768,-122.52736868911953
cobra-dh,Cobra DH,https://bendbikerides.com/trail/cobra-dh,Madras,black,True,True,False,1,602.0,0.37,12.0,41.0,39,135,803.0,833.0,,,44.6322314415506,-121.07822851203136
cod,COD,https://bendbikerides.com/trail/cod,Phil's Trail Complex,"blue,black,green,black,green,black",False,True,False,6,14758.0,9.17,221.0,419.0,725,1375,1170.0,1368.0,,Green Gate;Cascade Lakes Welcome Center,43.991560403902014,-121.44146110900007
coffin-mountain,Coffin Mountain,https://bendbikerides.com/trail/coffin-mountain,Cascade Crest,black,False,False,False,1,2165.0,1.35,329.0,13.0,1079,43,1444.8,1761.7,,,44.621587680950825,-122.04475110478275
cole-loop,Cole Loop,https://bendbikerides.com/trail/cole-loop,,blue,False,False,False,1,18095.0,11.24,545.0,782.0,1788,2566,889.1,1248.1,,Skull Hollow Campground,44.42974494271053,-121.12683788113728
cole-loop-pine-ridge,Cole Loop (Pine Ridge),https://bendbikerides.com/trail/cole-loop-pine-ridge,,blue,False,False,False,1,11348.0,7.05,416.0,178.0,1365,584,918.6,1178.3,,Skull Hollow Campground,44.43088856465809,-121.0408885681916
cone-run,Cone Run,https://bendbikerides.com/trail/cone-run,Mt. Bachelor Bike Park,blue,True,True,False,1,2204.0,1.37,54.0,177.0,177,581,2001.5,2128.8,,,43.99430926657587,-121.67338318963174
cover-charge,Cover Charge,https://bendbikerides.com/trail/cover-charge,Cline Butte,blue,False,False,False,1,2533.0,1.57,163.0,33.0,535,108,1058.7,1190.7,,,44.25787839198318,-121.30444824218296
coyote-loop,Coyote Loop,https://bendbikerides.com/trail/coyote-loop,East of Bend,blue,False,False,False,1,11105.0,6.9,413.0,73.0,1355,240,1322.8,1678.7,Cabin Butte Area Closure,Boyd Cave,43.90610790562809,-121.20345139966766
coyote-run,Coyote Run,https://bendbikerides.com/trail/coyote-run,Madras,blue,False,True,False,1,633.0,0.39,2.0,53.0,7,174,780.0,831.0,,,44.62870801049502,-121.08376430267907
crater-rim,Crater Rim,https://bendbikerides.com/trail/crater-rim,La Pine,blue,False,False,False,1,32194.0,20.0,962.0,964.0,3156,3163,1932.0,2320.0,,,43.687269708899834,-121.21534313320987
crazy-horse,Crazy Horse,https://bendbikerides.com/trail/crazy-horse,East of Bend,blue,False,False,False,1,15368.0,9.55,263.0,263.0,863,863,1289.2,1457.7,,,43.930004797221244,-121.09608783667659
crescent-mountain-north,Crescent Mountain (North),https://bendbikerides.com/trail/crescent-mountain-north,Cascade Crest,black,False,False,False,1,5785.0,3.59,589.0,106.0,1932,348,1230.2,1729.5,,,44.462650004794654,-122.09167087495828
crescent-mountain-south,Crescent Mountain (South),https://bendbikerides.com/trail/crescent-mountain-south,Cascade Crest,black,False,False,False,1,7300.0,4.54,85.0,701.0,279,2300,1094.6,1758.2,,,44.437503171800415,-122.05778127264935
crooked-arm,Crooked Arm,https://bendbikerides.com/trail/crooked-arm,East of Bend,double-black,False,False,False,1,1850.0,1.15,22.0,82.0,72,269,1411.2,1489.7,,,43.925966001873235,-121.07171605255343
crossfire,Crossfire,https://bendbikerides.com/trail/crossfire,Cline Butte,green,False,False,False,1,2105.0,1.31,173.0,18.0,568,59,1009.1,1165.4,,,44.252334875661404,-121.30685914698233
cultus-lake-loop,Cultus Lake Loop,https://bendbikerides.com/trail/cultus-lake-loop,Waldo Lake,green,False,False,False,1,18853.0,11.71,275.0,274.0,902,899,1378.7,1504.2,,,43.84722869866553,-121.85988470010179
dead-mountain,Dead Mountain,https://bendbikerides.com/trail/dead-mountain,,blue,False,True,False,1,9382.0,5.83,904.0,205.0,2966,673,407.6,1141.2,,,43.78279026022466,-122.41192311948691
