slug,name,complex,difficulty,dist_from_bend_mi,geom_status,covered_frac,n_osm_ways,name_check,osm_primary_name,osm_mtb_scale,osm_ids
50-shades-of-blue,50 Shades of Blue,Wanoga Sno Park,blue,12.3,strong,1.0,1,1.0,50 Shades of Blue,,1415722674
afternoon-delight,Afternoon Delight,Sunriver,green,12.1,strong,1.0,2,1.0,Afternoon Delight,,959854045;1451212360
alpine-chrome-toilet,Alpine (Chrome Toilet),Oakridge,blue,59.6,strong,1.0,1,0.73,Alpine Trail #3450,,419940597
alpine-lower,Alpine (Lower),Oakridge,blue,61.4,strong,1.0,1,0.8,Alpine Trail #3450,,419940597
alpine-upper,Alpine (Upper),Oakridge,blue,59.0,strong,1.0,1,0.8,Alpine Trail #3450,,419940597
arnold-ice-cave,Arnold Ice Cave,East of Bend,blue,11.6,strong,0.95,3,0.9,Arnold Ice Cave Trail Number 63,,616186747;568003261;272378390
bachelor-mountain,Bachelor Mountain,Cascade Crest,black,52.3,none,0.0,0,0.0,,,
bachy-west-xc,Bachy West XC,Mt. Bachelor Bike Park,blue,18.5,strong,1.0,1,0.0,,2,91883621
bens-trail,Ben’s Trail,Phil's Trail Complex,green,5.7,strong,1.0,1,0.89,Ben's Trail,1,60079163
betty-lake,Betty lake,Waldo Lake,blue,43.9,none,0.02,0,0.0,,,
big-bark,Big Bark,Maston,green,11.6,strong,1.0,1,1.0,Big Bark Trail,,315701846
big-wood,Big Wood,Mt. Bachelor Bike Park,black,18.4,strong,1.0,1,1.0,Big Wood,,521161756
black-rock,Black Rock,Sunriver,green,10.5,strong,1.0,1,1.0,Black Rock #3935,,418704942
blade-runner,Blade Runner,Mt. Bachelor Bike Park,blue,18.4,strong,1.0,1,1.0,Blade Runner,,870840939
blue-belly-loop,Blue Belly Loop,Cline Butte,blue,15.0,strong,1.0,1,1.0,Blue-Belly Loop,,1024743650
blue-belly-stem,Blue Belly Stem,Cline Butte,green,15.4,strong,1.0,1,1.0,Blue-Belly Stem,,1024743649
bobber,Bobber,,"blue,green",18.9,none,0.0,0,0.0,,,
bobby-lake,Bobby Lake,Waldo Lake,green,43.2,none,0.0,0,0.0,,,
bones,Bones,Madras,green,41.2,good,0.64,1,0.0,,,926396878
bridge-to-nowhere,Bridge to Nowhere,Madras,green,41.2,strong,1.0,1,0.0,,,926396878
browder-ridge,Browder Ridge,Cascade Crest,black,45.8,none,0.0,0,0.0,,,
bruno-meadows,Bruno Meadows,Cascade Crest,blue,52.5,none,0.0,0,0.0,,,
bugaboo-ridge,Bugaboo Ridge,Cascade Crest,black,51.7,none,0.0,0,0.0,,,
bull-snake,Bull Snake,Cline Butte,green,14.1,good,0.75,2,1.0,Bull Snake,,1389943344;1456604245
bunchgrass-lower,Bunchgrass (Lower),Oakridge,black,53.5,none,0.0,0,0.0,,,
bunchgrass-upper,Bunchgrass (Upper),Oakridge,black,49.6,none,0.0,0,0.0,,,
